,Radius,Pad,U,G,Pin,PinColID,PinRowID,PadName,FEE,FEE_Connector,FEE_Chan,phi,x,y,PadX,PadY,PadR,PadPhi
588,9,41,5,1,E7,4,7,ZZ.09.041,9.0,J2,135,0.11453723216212787,78.4823745425361,9.028670232380865,-99.0810772002807,680.6975845581946,687.8708174377864,-0.14454302923747434
517,9,42,5,1,B8,1,8,ZZ.09.042,9.0,J2,133,0.117264309118369,78.45746086000169,9.242663869323792,-97.27603663519133,680.9586581977612,687.8715879275335,-0.14189162659760182
541,9,43,5,1,C8,2,8,ZZ.09.043,9.0,J2,130,0.11999138607461014,78.43196369371535,9.456588769092038,-95.4696625503077,681.2120272067574,687.8693789365897,-0.13923988323136885
565,9,44,5,1,D8,3,8,ZZ.09.044,9.0,J2,131,0.12271846303085128,78.40588323329808,9.670443340738078,-93.66333746692052,681.4639685298087,687.8705991608002,-0.13658849466333559
589,9,45,5,1,E8,4,8,ZZ.09.045,9.0,J2,128,0.12544553998709243,78.37921967270884,9.884225993837415,-91.85636332478663,681.7103970103616,687.8711048410742,-0.13393726922836957
613,9,46,5,1,F8,5,8,ZZ.09.046,9.0,J2,129,0.12817261694333357,78.35197321024302,10.097935138500402,-90.04871543647792,681.9527329459933,687.8723000123416,-0.131285874145397
612,9,47,5,1,F7,5,7,ZZ.09.047,9.0,J2,132,0.1308996938995747,78.32414404853102,10.311569185384075,-88.24010137399961,682.1889694897778,687.8721578782054,-0.12863425140016105
771,9,48,7,1,B6,1,6,ZZ.09.048,8.0,J2,143,0.13362677085581584,78.29573239453678,10.525126545703964,-86.43106860451756,682.419589173326,687.8712272712168,-0.12598306832821285
795,9,49,7,1,C6,2,6,ZZ.09.049,8.0,J2,140,0.13635384781205698,78.2667384595562,10.73860563124592,-84.62187767692936,682.6501813309698,687.8750847739545,-0.12333167346374627
819,9,50,7,1,D6,3,6,ZZ.09.050,8.0,J2,141,0.13908092476829811,78.23716245921553,10.952004854377906,-82.81051592481538,682.8674034524934,687.870243756542,-0.12067953402104024
843,9,51,7,1,E6,4,6,ZZ.09.051,8.0,J2,138,0.14180800172453925,78.20700461346982,11.16532262806183,-81.00058180722075,683.0845989398387,687.8703828207088,-0.11802944146475759
867,9,52,7,1,F6,5,6,ZZ.09.052,8.0,J2,139,0.1445350786807804,78.17626514660131,11.37855736586533,-79.18892085108367,683.2981550504896,687.8715387926457,-0.11537748396745168
889,9,53,7,1,F2,5,2,ZZ.09.053,8.0,J2,159,0.14726215563702152,78.1449442872177,11.591707481973575,-77.37654591604614,683.5055312975834,687.8713114909574,-0.11272553325497067
772,9,54,7,1,B7,1,7,ZZ.09.054,8.0,J2,136,0.1499892325932627,78.11304226825045,11.80477139120107,-75.56359499891904,683.7060736809522,687.8690660855336,-0.11007385852120068
796,9,55,7,1,C7,2,7,ZZ.09.055,8.0,J2,137,0.15271630954950383,78.0805593269531,12.017747509003419,-73.75078046831318,683.9052220553916,687.8702860091572,-0.10742259953026284
773,9,56,7,1,B8,1,8,ZZ.09.056,8.0,J2,133,0.15544338650574496,78.04749570489946,12.23063425148914,-71.93746128594675,684.0998710584446,687.8718135804429,-0.10477132301655256
797,9,57,7,1,C8,2,8,ZZ.09.057,8.0,J2,130,0.1581704634619861,78.01385164798187,12.443430035431428,-70.12330758297908,684.2870136164755,687.8706239334049,-0.10211998249865092
821,9,58,7,1,D8,3,8,ZZ.09.058,8.0,J2,131,0.16089754041822724,77.97962740640926,12.656133278279928,-68.30832395287769,684.470496108718,687.8705453532414,-0.09946797928193767
845,9,59,7,1,E8,4,8,ZZ.09.059,8.0,J2,128,0.16362461737446837,77.94482323470544,12.868742398172508,-66.49320971734588,684.6476721465015,687.8690150850947,-0.09681669136361896
869,9,60,7,1,F8,5,8,ZZ.09.060,8.0,J2,129,0.16635169433070954,77.90943939170707,13.08125581394703,-64.67803015022781,684.824097411216,687.871566485489,-0.09416541835444567
820,9,61,7,1,D7,3,7,ZZ.09.061,8.0,J2,134,0.16907877128695067,77.87347614056182,13.293671945153092,-62.86200908936019,684.9917999895101,687.8701899629173,-0.09151412428208036
844,9,62,7,1,E7,4,7,ZZ.09.062,8.0,J2,135,0.17180584824319178,77.83693374872635,13.505989212063794,-61.04567632048717,685.1573009210814,687.8714281047636,-0.08886267092082381
868,9,63,7,1,F7,5,7,ZZ.09.063,8.0,J2,132,0.17453292519943295,77.79981248796443,13.718206035687496,-59.22816225812626,685.3167623932359,687.8713833425707,-0.08621029079608693
