,Radius,Pad,U,G,Pin,PinColID,PinRowID,PadName,FEE,FEE_Connector,FEE_Chan,phi,x,y,PadX,PadY,PadR,PadPhi
1768,2,103,14,1,F12,5,12,ZZ.02.103,1.0,J1,46,0.4254240051736178,65.58219539432466,29.714906145916416,67.43390617528308,431.80844735004143,437.0421797777766,0.15491498735799458
1697,2,104,14,1,C13,2,13,ZZ.02.104,1.0,J1,44,0.4295146206079795,65.46009478251761,29.982928327029875,69.14303946203381,431.5380360703046,437.0421449716993,0.15887431660841217
1721,2,105,14,1,D13,3,13,ZZ.02.105,1.0,J1,45,0.4336052360423412,65.33689881965894,30.25044880046657,70.85086680655253,431.2614059703524,437.0426130330599,0.16283294260166215
1769,2,106,14,1,F13,5,13,ZZ.02.106,1.0,J1,43,0.4376958514767029,65.21260956720042,30.517463089776662,72.55810908716239,430.97748302711346,437.04264102109124,0.16679294830176586
1698,2,107,14,1,C14,2,14,ZZ.02.107,1.0,J1,41,0.4417864669110646,65.08722910488792,30.783966726980307,74.26350995384837,430.6867167938553,437.0424658237868,0.17075140002447126
1746,2,108,14,1,E14,4,14,ZZ.02.108,1.0,J1,39,0.44587708234542633,64.96075953072669,31.049955252642498,75.96831672208458,430.38945536648527,437.0426391512009,0.17471103752345196
1770,2,109,14,1,F14,5,14,ZZ.02.109,1.0,J1,36,0.44996769777978807,64.83320296094618,31.31542421594763,77.67173438392592,430.0860799179349,437.04340111868004,0.17866996821724151
1723,2,110,14,1,D15,3,15,ZZ.02.110,1.0,J1,35,0.45405831321414974,64.70456152996468,31.58036917477399,79.3739116202212,429.7750900141187,437.04329973417794,0.1826291962598729
1747,2,111,14,1,E15,4,15,ZZ.02.111,1.0,J1,32,0.4581489286485115,64.57483739035357,31.84478569576809,81.07490417067203,429.457038074365,437.0428899294556,0.1865886979992168
1950,2,112,16,1,C10,2,10,ZZ.02.112,0.0,J1,61,0.46223954408287315,64.44403271280129,32.10866935441886,82.77443085925908,429.13296321394256,437.0431403429795,0.1905474618464477
1998,2,113,16,1,E10,4,10,ZZ.02.113,0.0,J1,59,0.4663301595172349,64.3121496860771,32.37201573513167,84.47251958047343,428.80219337057844,437.04339327313073,0.19450589179379055
2042,2,114,16,1,E9,4,9,ZZ.02.114,0.0,J1,62,0.47042077495159657,64.17919051699435,32.634820431302224,86.16931737384581,428.46274729014874,437.04173378762863,0.19846527346772647
1927,2,115,16,1,B11,1,11,ZZ.02.115,0.0,J1,57,0.4745113903859583,64.04515743037364,32.897079045390285,87.86578630488425,428.118554524329,437.0422097818201,0.20242606956775558
1999,2,116,16,1,E11,4,11,ZZ.02.116,0.0,J1,52,0.47860200582032003,63.91005266900548,33.15878718899328,89.55942782012278,427.7680468061778,437.0427816356656,0.2063834237893616
2023,2,117,16,1,F11,5,11,ZZ.02.117,0.0,J1,53,0.4826926212546817,63.773878493612926,33.419940482919706,91.25269547027305,427.4114987256584,437.0442124928597,0.21034275481304712
1976,2,118,16,1,D12,3,12,ZZ.02.118,0.0,J1,48,0.48678323668904344,63.63663718281357,33.68053455726244,92.94350432773885,427.0434640022771,437.0407476926889,0.2143020899747892
2000,2,119,16,1,E12,4,12,ZZ.02.119,0.0,J1,49,0.4908738521234051,63.49833103308156,33.94056505147183,94.63429765622195,426.674815541997,437.0435315968921,0.2182616952326037
1929,2,120,16,1,B13,1,13,ZZ.02.120,0.0,J1,47,0.49496446755776685,63.3589623587091,34.20002761442866,96.32226711220687,426.2942679909881,437.04093865862006,0.22222088613532806
2001,2,121,16,1,E13,4,13,ZZ.02.121,0.0,J1,42,0.4990550829921286,63.21853349176772,34.458917904517016,98.00976004242338,425.91207727926655,437.0434882662289,0.22617984252899082
2025,2,122,16,1,F13,5,13,ZZ.02.122,0.0,J1,43,0.5031456984264903,63.077046782069274,34.71723158969684,99.69547473807351,425.52047109962103,437.0433147962491,0.230139643531621
1930,2,123,16,1,B14,1,14,ZZ.02.123,0.0,J1,40,0.507236313860852,62.93450459712664,34.97496434757648,101.3794519495676,425.1234250238058,437.0442995642045,0.2340984057904761
2002,2,124,16,1,E14,4,14,ZZ.02.124,0.0,J1,39,0.5113269292952137,62.79090932211405,35.23211186548503,103.06120077037485,424.7161745657843,437.0416914231699,0.2380576391481728
